Indicador,Indicador,Tasa de desocupación con iniciadores disponibles (SU1) (proyecciones base 2002)Tasa de desocupación con iniciadores disponibles (SU1) - (proyecciones base 2017),Tasa de desocupación con iniciadores disponibles (SU1) (proyecciones base 2002)Tasa de desocupación con iniciadores disponibles (SU1) - (proyecciones base 2017),Tasa de desocupación con iniciadores disponibles (SU1) (proyecciones base 2002)Tasa de desocupación con iniciadores disponibles (SU1) - (proyecciones base 2017),Tasa de desocupación con iniciadores disponibles (SU1) (proyecciones base 2002)Tasa de desocupación con iniciadores disponibles (SU1) - (proyecciones base 2017),Tasa de desocupación con iniciadores disponibles (SU1) (proyecciones base 2002)Tasa de desocupación con iniciadores disponibles (SU1) - (proyecciones base 2017),Tasa de desocupación con iniciadores disponibles (SU1) (proyecciones base 2002)Tasa de desocupación con iniciadores disponibles (SU1) - (proyecciones base 2017),Tasa de desocupación con iniciadores disponibles (SU1) (proyecciones base 2002)Tasa de desocupación con iniciadores disponibles (SU1) - (proyecciones base 2017),Tasa de desocupación con iniciadores disponibles (SU1) (proyecciones base 2002)Tasa de desocupación con iniciadores disponibles (SU1) - (proyecciones base 2017),Tasa de desocupación con iniciadores disponibles (SU1) (proyecciones base 2002)Tasa de desocupación con iniciadores disponibles (SU1) - (proyecciones base 2017),Tasa de desocupación con iniciadores disponibles (SU1) (proyecciones base 2002)Tasa de desocupación con iniciadores disponibles (SU1) - (proyecciones base 2017),Tasa de desocupación con iniciadores disponibles (SU1) (proyecciones base 2002)Tasa de desocupación con iniciadores disponibles (SU1) - (proyecciones base 2017),Tasa de desocupación con iniciadores disponibles (SU1) (proyecciones base 2002)Tasa de desocupación con iniciadores disponibles (SU1) - (proyecciones base 2017),Tasa de desocupación con iniciadores disponibles (SU1) (proyecciones base 2002)Tasa de desocupación con iniciadores disponibles (SU1) - (proyecciones base 2017),Tasa de desocupación con iniciadores disponibles (SU1) (proyecciones base 2002)Tasa de desocupación con iniciadores disponibles (SU1) - (proyecciones base 2017),Tasa de desocupación con iniciadores disponibles (SU1) (proyecciones base 2002)Tasa de desocupación con iniciadores disponibles (SU1) - (proyecciones base 2017),Tasa de desocupación con iniciadores disponibles (SU1) (proyecciones base 2002)Tasa de desocupación con iniciadores disponibles (SU1) - (proyecciones base 2017),Tasa de desocupación con iniciadores disponibles (SU1) (proyecciones base 2002)Tasa de desocupación con iniciadores disponibles (SU1) - (proyecciones base 2017)
2010 ene-mar,,9.6,8.6,7.2,8.8,10.1,10.6,11.7,9.9,6.2,9.0,8.2,11.0,8.8,11.4,7.5,4.8,5.9
2010 feb-abr,,9.2,8.6,5.9,7.6,8.6,9.9,11.1,9.3,5.6,8.6,10.4,11.2,8.7,9.1,7.2,4.1,(v) 8.0
(v),8.0,,,,,,,,,,,,,,,,,
2010 mar-may,,9.4,8.1,6.3,8.3,9.5,9.4,11.3,9.4,6.9,8.7,12.1,11.2,8.6,9.1,7.8,5.6,(v) 7.9
(v),7.9,,,,,,,,,,,,,,,,,
2010 abr-jun,,8.9,7.4,6.4,7.4,8.8,8.4,10.9,8.5,7.1,8.5,11.0,10.3,9.6,9.1,8.8,6.6,(v) 7.6
(v),7.6,,,,,,,,,,,,,,,,,
2010 may-jul,,8.7,6.1,5.1,8.0,8.6,8.7,10.8,8.1,8.5,8.7,9.0,10.2,10.2,9.7,8.7,7.6,5.5
2010 jun-ago,,8.6,6.7,4.8,8.2,6.9,8.0,10.8,8.1,8.4,7.8,8.5,10.1,10.5,9.4,8.5,6.8,6.7
2010 jul-sep,,8.3,7.5,4.3,7.9,6.7,8.5,10.1,8.0,8.6,7.6,8.9,9.4,8.8,9.2,7.7,5.7,7.0
2010 ago-oct,,8.1,8.7,5.3,7.4,7.7,8.7,9.3,7.9,8.9,7.0,8.9,8.3,8.3,9.5,7.4,5.5,5.2
2010 sep-nov,,7.5,8.0,5.6,6.9,7.3,8.1,8.8,7.4,7.6,6.5,7.7,7.8,7.2,9.1,7.0,4.7,4.8
2010 oct-dic,,7.5,7.6,5.6,7.3,6.9,7.9,8.8,7.5,6.5,6.3,6.8,8.2,8.2,8.9,6.1,4.7,5.4
2010 nov-ene,,7.7,8.3,7.1,7.0,(v) 7.5,8.0,9.7,7.5,6.0,6.4,6.7,8.9,8.9,9.3,5.9,4.1,6.3
(v),7.5,,,,,,,,,,,,,,,,,
2011 dic-feb,,7.8,8.8,6.9,7.3,7.8,9.0,10.0,7.2,6.3,6.9,7.1,9.3,9.0,8.8,5.8,4.5,5.8
2011 ene-mar,,7.9,9.8,7.6,6.5,8.2,9.1,9.8,7.6,5.9,6.6,8.3,8.9,8.7,8.5,6.5,4.5,5.4
2011 feb-abr,,7.5,8.5,5.8,6.4,6.1,9.0,9.2,7.5,5.0,6.4,7.8,8.4,7.8,7.1,6.7,4.1,4.7
